"FileName","OriginalCategory","Reason"
"03_cling_stun_stars.png","状態異常","memo.xlsxに効果が明記された対応技なし"
"03_status_stun_stars.png","状態異常","memo.xlsxに効果が明記された対応技なし"
"05_aura_wind_spiral.png","纏","memo.xlsxに効果が明記された対応技なし"
"07_aoe_wind_tornado.png","魔法","memo.xlsxに効果が明記された対応技なし"
"07_aura_earth_stones.png","纏","memo.xlsxに効果が明記された対応技なし"
"07_cling_confusion_spirals.png","状態異常","memo.xlsxに効果が明記された対応技なし"
"07_projectile_wind_blade.png","魔法","memo.xlsxに効果が明記された対応技なし"
"07_status_confusion_spiral.png","状態異常","memo.xlsxに効果が明記された対応技なし"
"08_cling_silence_fragments.png","状態異常","memo.xlsxに効果が明記された対応技なし"
"08_projectile_wind_needles.png","魔法","memo.xlsxに効果が明記された対応技なし"
"08_status_silence_magic_seal.png","状態異常","memo.xlsxに効果が明記された対応技なし"
"09_cling_blind_smoke.png","状態異常","memo.xlsxに効果が明記された対応技なし"
"09_debuff_attack_down.png","バフ","memo.xlsxに効果が明記された対応技なし"
"09_status_blind_smoke.png","状態異常","memo.xlsxに効果が明記された対応技なし"
"10_cling_curse_wisps.png","状態異常","memo.xlsxに効果が明記された対応技なし"
"10_debuff_defense_down.png","バフ","memo.xlsxに効果が明記された対応技なし"
"10_status_curse_aura.png","状態異常","memo.xlsxに効果が明記された対応技なし"
"11_debuff_magic_down.png","バフ","memo.xlsxに効果が明記された対応技なし"
"12_debuff_speed_down.png","バフ","memo.xlsxに効果が明記された対応技なし"
"13_cling_charm_hearts.png","状態異常","memo.xlsxに効果が明記された対応技なし"
"13_status_charm_heart_aura.png","状態異常","memo.xlsxに効果が明記された対応技なし"
"14_cling_fear_shadow_wisps.png","状態異常","memo.xlsxに効果が明記された対応技なし"
"14_status_fear_shadow.png","状態異常","memo.xlsxに効果が明記された対応技なし"
"15_cling_petrify_stone_flakes.png","状態異常","memo.xlsxに効果が明記された対応技なし"
"15_status_petrify_stone.png","状態異常","memo.xlsxに効果が明記された対応技なし"
"16_cling_doom_shadow_motes.png","状態異常","memo.xlsxに効果が明記された対応技なし"
"16_status_doom_dark_aura.png","状態異常","memo.xlsxに効果が明記された対応技なし"
